DATE,UNE,SUBMARCA,MERCADO,VENTA_PRECIOLISTAOTB
2020-12-01,ACCESORIOS,CLOESEXTOSENTIDO,M1,0.0
2020-12-01,ACCESORIOS,CLOESEXTOSENTIDO,M2,0.0
2020-12-01,ACCESORIOS,CLOEUOMO,M1,0.0
2020-12-01,ACCESORIOS,CLOEUOMO,M2,0.0
2020-12-01,ACCESORIOS,LUCENTZZA,M1,0.0
2020-12-01,ACCESORIOS,LUCENTZZA,M2,0.0
2020-12-01,ACCESORIOS,X,M1,0.0
2020-12-01,ACCESORIOS,X,M2,0.0
2020-12-01,ACCESORIOS,Y,M1,0.0
2020-12-01,ACCESORIOS,Y,M2,0.0
2020-12-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,M1,57.181945624499996
2020-12-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,M2,23.0
2020-12-01,BILLETERA,CLOE,M1,5549.578824580001
2020-12-01,BILLETERA,CLOE,M2,290.0
2020-12-01,BILLETERA,CLOEGIRLS,M1,0.0
2020-12-01,BILLETERA,CLOEGIRLS,M2,0.0
2020-12-01,BILLETERA,CLOELEATHER,M1,72.4495957827
2020-12-01,BILLETERA,CLOELEATHER,M2,0.0
2020-12-01,BILLETERA,CLOEMOM&BABY,M1,0.0
2020-12-01,BILLETERA,CLOEMOM&BABY,M2,0.0
2020-12-01,BILLETERA,CLOESEXTOSENTIDO,M1,0.0
2020-12-01,BILLETERA,CLOESEXTOSENTIDO,M2,0.0
2020-12-01,BILLETERA,CLOEUOMO,M1,17.878242737699996
2020-12-01,BILLETERA,CLOEUOMO,M2,0.0
2020-12-01,BILLETERA,LUCENTZZA,M1,0.0
2020-12-01,BILLETERA,LUCENTZZA,M2,0.0
2020-12-01,BILLETERA,X,M1,0.0
2020-12-01,BILLETERA,X,M2,0.0
2020-12-01,BILLETERA,Y,M1,0.0
2020-12-01,BILLETERA,Y,M2,0.0
2020-12-01,BOLSO,CLOEAGATHARUIZDELAPRADA,M1,69.90184218690003
2020-12-01,BOLSO,CLOEAGATHARUIZDELAPRADA,M2,59.0
2020-12-01,BOLSO,CLOE,M1,16734.592244599997
2020-12-01,BOLSO,CLOE,M2,1323.0
2020-12-01,BOLSO,CLOEGIRLS,M1,876.1428357643
2020-12-01,BOLSO,CLOEGIRLS,M2,5.0
2020-12-01,BOLSO,CLOELEATHER,M1,86.12645574910002
2020-12-01,BOLSO,CLOELEATHER,M2,0.0
2020-12-01,BOLSO,CLOEMOM&BABY,M1,510.21868130810003
2020-12-01,BOLSO,CLOEMOM&BABY,M2,170.0
2020-12-01,BOLSO,CLOESEXTOSENTIDO,M1,0.0
2020-12-01,BOLSO,CLOESEXTOSENTIDO,M2,0.0
2020-12-01,BOLSO,CLOEUOMO,M1,0.0
2020-12-01,BOLSO,CLOEUOMO,M2,0.0
2020-12-01,BOLSO,LUCENTZZA,M1,0.0
2020-12-01,BOLSO,LUCENTZZA,M2,0.0
2020-12-01,BOLSO,X,M1,0.0
2020-12-01,BOLSO,X,M2,0.0
2020-12-01,BOLSO,Y,M1,0.0
2020-12-01,BOLSO,Y,M2,0.0
2020-12-01,CALZADO,CLOEAGATHARUIZDELAPRADA,M1,22.235798793399994
2020-12-01,CALZADO,CLOEAGATHARUIZDELAPRADA,M2,0.0
2020-12-01,CALZADO,CLOE,M1,5779.22780167
2020-12-01,CALZADO,CLOE,M2,318.0
2020-12-01,CALZADO,CLOEGIRLS,M1,0.0
2020-12-01,CALZADO,CLOEGIRLS,M2,0.0
2020-12-01,CALZADO,CLOELEATHER,M1,0.0
2020-12-01,CALZADO,CLOELEATHER,M2,0.0
2020-12-01,CALZADO,CLOEMOM&BABY,M1,0.0
